type,sku,art,kollektion,masse,farbe,ean,,,,,,,
variant_child,DKRDTeppstar25x25,Loribaft,Teppstar,25 x 25 cm,Red,4251469490338,,,,,,,
variant_child,DKRDTeppstar60x40,Loribaft,Teppstar,60 x 40 cm,Red,4251469451285,,,,,,,
variant_child,DKRDTeppstar90x60,Loribaft,Teppstar,90 x 60 cm,Red,4251469407671,,,,,,,
variant_child,DKRDTeppstar140x70,Loribaft,Teppstar,140 x 70 cm,Red,4251469452121,,,,,,,
variant_child,DKRDTeppstar200x140,Loribaft,Teppstar,200 x 140 cm,Red,4251469407718,,,,,,,
variant_child,DKRDTeppstar240x170,Loribaft,Teppstar,240 x 170 cm,Red,4251469451568,,,,,,,
variant_child,DKRDTeppstar300x200,Loribaft,Teppstar,300 x 200 cm,Red,4251469452213,,,,,,,
variant_child,DKRDTeppstar350x250,Loribaft,Teppstar,350 x 250 cm,Red,4251469407725,,,,,,,
variant_child,DKRDTeppstar300x80,Loribaft,Teppstar,300 x 80 cm,Red,4251469407688,,,,,,,
variant_child,ORTeppstar25x25,Loribaft,Teppstar,25 x 25 cm,Orange,4251469490345,,,,,,,
variant_child,ORTeppstar300x200,Loribaft,Teppstar,300 x 200 cm,Orange,4251469408128,,,,,,,
variant_child,ORTeppstar350x250,Loribaft,Teppstar,350 x 250 cm,Orange,4251469453975,,,,,,,
variant_child,GDTeppstar25x25,Loribaft,Teppstar,25 x 25 cm,Gold,4251469490352,,,,,,,
variant_child,GDTeppstar60x40,Loribaft,Teppstar,60 x 40 cm,Gold,4251469408159,,,,,,,
variant_child,GDTeppstar300x80,Loribaft,Teppstar,300 x 80 cm,Gold,4251469452336,,,,,,,
variant_child,BLTeppstar25x25,Loribaft,Teppstar,25 x 25 cm,Blue,4251469490369,,,,,,,
variant_child,BLTeppstar60x40,Loribaft,Teppstar,60 x 40 cm,Blue,4251469408197,,,,,,,
variant_child,BLTeppstar90x60,Loribaft,Teppstar,90 x 60 cm,Blue,4251469408241,,,,,,,
variant_child,BLTeppstar200x140,Loribaft,Teppstar,200 x 140 cm,Blue,4251469408258,,,,,,,
variant_child,BLTeppstar300x80,Loribaft,Teppstar,300 x 80 cm,Blue,4251469408227,,,,,,,
variant_child,TKTeppstar25x25,Loribaft,Teppstar,25 x 25 cm,Turqouise,4251469490376,,,,,,,
variant_child,TKTeppstar60x40,Loribaft,Teppstar,60 x 40 cm,Turqouise,4251469408289,,,,,,,
variant_child,GREYTeppstar25x25,Loribaft,Teppstar,25 x 25 cm,Grey,4251469490383,,,,,,,
variant_child,GREYTeppstar90x60,Loribaft,Teppstar,90 x 60 cm,Grey,4251469407886,,,,,,,
variant_child,GREYTeppstar200x140,Loribaft,Teppstar,200 x 140 cm,Grey,4251469407947,,,,,,,
variant_child,GREYTeppstar240x170,Loribaft,Teppstar,240 x 170 cm,Grey,4251469407954,,,,,,,
variant_child,GREYTeppstar300x200,Loribaft,Teppstar,300 x 200 cm,Grey,4251469407985,,,,,,,
variant_child,GREYTeppstar350x250,Loribaft,Teppstar,350 x 250 cm,Grey,4251469408005,,,,,,,
variant_child,GREYTeppstar300x80,Loribaft,Teppstar,300 x 80 cm,Grey,4251469407923,,,,,,,
variant_child,SVTeppstar25x25,Loribaft,Teppstar,25 x 25 cm,Silver,4251469490390,,,,,,,
variant_child,SVTeppstar60x40,Loribaft,Teppstar,60 x 40 cm,Silver,4251469453326,,,,,,,
variant_child,SVTeppstar140x70,Loribaft,Teppstar,140 x 70 cm,Silver,4251469451292,,,,,,,
variant_child,SVTeppstar200x140,Loribaft,Teppstar,200 x 140 cm,Silver,4251469407848,,,,,,,
variant_child,SVTeppstar240x170,Loribaft,Teppstar,240 x 170 cm,Silver,4251469407855,,,,,,,
variant_child,SVTeppstar300x200,Loribaft,Teppstar,300 x 200 cm,Silver,4251469413184,,,,,,,
variant_child,SVTeppstar350x250,Loribaft,Teppstar,350 x 250 cm,Silver,4251469407862,,,,,,,
variant_child,SVTeppstar300x80,Loribaft,Teppstar,300 x 80 cm,Silver,4251469407831,,,,,,,
variant_child,PURTeppstar25x25,Loribaft,Teppstar,25 x 25 cm,Purple,4251469490406,,,,,,,
variant_child,NATeppstar25x25,Loribaft,Teppstar,25 x 25 cm,Natural,4251469490413,,,,,,,
variant_child,NATeppstar60x40,Loribaft,Teppstar,60 x 40 cm,Natural,4251469451322,,,,,,,
variant_child,NATeppstar90x60,Loribaft,Teppstar,90 x 60 cm,Natural,4251469408517,,,,,,,
variant_child,WHTeppstar25x25,Loribaft,Teppstar,25 x 25 cm,White,4251469490420,,,,,,,
variant_child,WHTeppstar60x40,Loribaft,Teppstar,60 x 40 cm,White,4251469490437,,,,,,,
variant_child,WHTeppstar90x60,Loribaft,Teppstar,90 x 60 cm,White,4251469490444,,,,,,,
variant_child,WHTeppstar140x70,Loribaft,Teppstar,140 x 70 cm,White,4251469490451,,,,,,,
variant_child,WHTeppstar200x140,Loribaft,Teppstar,200 x 140 cm,White,4251469490468,,,,,,,
variant_child,WHTeppstar240x170,Loribaft,Teppstar,240 x 170 cm,White,4251469490475,,,,,,,
variant_child,WHTeppstar300x200,Loribaft,Teppstar,300 x 200 cm,White,4251469490482,,,,,,,
variant_child,WHTeppstar350x250,Loribaft,Teppstar,350 x 250 cm,White,4251469490499,,,,,,,
variant_child,WHTeppstar300x80,Loribaft,Teppstar,300 x 80 cm,White,4251469490505,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
