type,sku,art,kollektion,masse,farbe,ean
variant_child,BLAwaro140x70,Gabbeh,Uni,101 x 200 cm,Gold,4251469494244
variant_child,BLAwaro200x150,Gabbeh,Uni,102 x 200 cm,Gold,4251469494251
variant_child,BLAwaro240x170,Gabbeh,Uni,103 x 200 cm,Gold,4251469494268
variant_child,BLAwaro300x200,Gabbeh,Uni,104 x 200 cm,Gold,4251469494275
variant_child,BLAwaro350x250,Gabbeh,Uni,105 x 200 cm,Gold,4251469494282
variant_child,BLAwaro300x80,Gabbeh,Uni,106 x 200 cm,Gold,4251469494299
variant_child,RDAwaro140x70,Gabbeh,Uni,107 x 200 cm,Gold,4251469494305
variant_child,RDAwaro240x170,Gabbeh,Uni,108 x 200 cm,Gold,4251469494329
variant_child,RDAwaro300x200,Gabbeh,Uni,109 x 200 cm,Gold,4251469494336
variant_child,RDAwaro350x250,Gabbeh,Uni,110 x 200 cm,Gold,4251469494343
variant_child,RDAwaro300x80,Gabbeh,Uni,111 x 200 cm,Gold,4251469494350
variant_child,RDAwaro200x150,Gabbeh,Uni,112 x 200 cm,Gold,4251469494312
variant_child,BGAwaro200x150,Gabbeh,Uni,113 x 200 cm,Gold,4251469494374
variant_child,BGAwaro240x170,Gabbeh,Uni,114 x 200 cm,Gold,4251469494381
variant_child,BGAwaro300x200,Gabbeh,Uni,115 x 200 cm,Gold,4251469494398
variant_child,BGAwaro350x250,Gabbeh,Uni,116 x 200 cm,Gold,4251469494404
variant_child,BGAwaro300x80,Gabbeh,Uni,117 x 200 cm,Gold,4251469494411
variant_child,BGAwaro140x70,Gabbeh,Uni,118 x 200 cm,Gold,4251469494367
variant_child,BLDesert90x60,Gabbeh,Uni,119 x 200 cm,Gold,4251469494428
variant_child,BLDesert140x70,Gabbeh,Uni,120 x 200 cm,Gold,4251469494435
variant_child,BLDesert200x140,Gabbeh,Uni,121 x 200 cm,Gold,4251469494442
variant_child,BLDesert240x170,Gabbeh,Uni,122 x 200 cm,Gold,4251469494459
variant_child,BLDesert300x200,Gabbeh,Uni,123 x 200 cm,Gold,4251469494466
variant_child,BLDesert350x250,Gabbeh,Uni,124 x 200 cm,Gold,4251469494473
variant_child,BLDesert300x80,Gabbeh,Uni,125 x 200 cm,Gold,4251469494480
variant_child,RDDesert90x60,Gabbeh,Uni,126 x 200 cm,Gold,4251469494497
variant_child,RDDesert140x70,Gabbeh,Uni,127 x 200 cm,Gold,4251469494503
variant_child,RDDesert200x140,Gabbeh,Uni,128 x 200 cm,Gold,4251469494510
variant_child,RDDesert240x170,Gabbeh,Uni,129 x 200 cm,Gold,4251469494527
variant_child,RDDesert300x200,Gabbeh,Uni,130 x 200 cm,Gold,4251469494534
variant_child,RDDesert350x250,Gabbeh,Uni,131 x 200 cm,Gold,4251469494541
variant_child,RDDesert300x80,Gabbeh,Uni,132 x 200 cm,Gold,4251469494558
variant_child,GRDesert90x60,Gabbeh,Uni,133 x 200 cm,Gold,4251469494565
variant_child,GRDesert140x70,Gabbeh,Uni,134 x 200 cm,Gold,4251469494572
variant_child,GRDesert200x140,Gabbeh,Uni,135 x 200 cm,Gold,4251469494589
variant_child,GRDesert240x170,Gabbeh,Uni,136 x 200 cm,Gold,4251469494596
variant_child,GRDesert300x200,Gabbeh,Uni,137 x 200 cm,Gold,4251469494602
variant_child,GRDesert350x250,Gabbeh,Uni,138 x 200 cm,Gold,4251469494619
variant_child,GRDesert300x80,Gabbeh,Uni,139 x 200 cm,Gold,4251469494626
variant_child,RDFancy25x25,Gabbeh,Uni,140 x 200 cm,Gold,4251469490598
variant_child,RDFancy150R,Gabbeh,Uni,141 x 200 cm,Gold,4251469489936
variant_child,ORFancy25x25,Gabbeh,Uni,142 x 200 cm,Gold,4251469490604
variant_child,ORFancy150R,Gabbeh,Uni,143 x 200 cm,Gold,4251469489943
variant_child,BLFancy25x25,Gabbeh,Uni,144 x 200 cm,Gold,4251469490611
variant_child,BLFancy150R,Gabbeh,Uni,145 x 200 cm,Gold,4251469489950
variant_child,GDFancy25x25,Gabbeh,Uni,146 x 200 cm,Gold,4251469490628
variant_child,GDFancy150R,Gabbeh,Uni,147 x 200 cm,Gold,4251469489967
variant_child,PURFancy25x25,Gabbeh,Uni,148 x 200 cm,Gold,4251469490635
variant_child,PURFancy150x150R,Gabbeh,Uni,149 x 200 cm,Gold,4251469489974
variant_child,GRFancy25x25,Gabbeh,Uni,150 x 200 cm,Gold,4251469490642
variant_child,GRFancy150R,Gabbeh,Uni,151 x 200 cm,Gold,4251469489981
variant_child,GREYFancy25x25,Gabbeh,Uni,152 x 200 cm,Gold,4251469490659
variant_child,GREYFancy150R,Gabbeh,Uni,153 x 200 cm,Gold,4251469489998
variant_child,TKFancy25x25,Gabbeh,Uni,154 x 200 cm,Gold,4251469490666
variant_child,TKFancy150R,Gabbeh,Uni,155 x 200 cm,Gold,4251469490000
variant_child,WHFancy25x25,Gabbeh,Uni,156 x 200 cm,Gold,4251469490000
variant_child,WHFancy150R,Gabbeh,Uni,157 x 200 cm,Gold,4251469490017
