type,sku,art,kollektion,masse,farbe,ean
variant_child,RT105Indira240x170,-0,-0,-0,-0,4251469451162
variant_child,RT105Indira300x200,-0,-0,-0,-0,4251469404069
variant_child,RT105Indira350x250,-0,-0,-0,-0,4251469404083
variant_child,RT105Indira400x300,-0,-0,-0,-0,4251469404090
variant_child,RT105Indira200x80,-0,-0,-0,-0,4251469404007
variant_child,RT105Indira240x80,-0,-0,-0,-0,4251469404014
variant_child,RT105Indira300x80,-0,-0,-0,-0,4251469404021
variant_child,RT105Indira350x80,-0,-0,-0,-0,4251469404038
variant_child,RTOR130Nerio140x70,-0,-0,-0,-0,4251469403925
variant_child,RTOR130Nerio160x90,-0,-0,-0,-0,4251469451896
variant_child,RTOR130Nerio200x140,-0,-0,-0,-0,4251469451612
variant_child,RTOR130Nerio240x170,-0,-0,-0,-0,4251469403970
variant_child,RTOR130Nerio300x200,-0,-0,-0,-0,4251469403987
variant_child,RTOR130Nerio350x250,-0,-0,-0,-0,4251469403994
variant_child,RTOR130Nerio200x80,-0,-0,-0,-0,4251469403932
variant_child,RTOR130Nerio300x80,-0,-0,-0,-0,4251469403949
variant_child,RTOR130Nerio400x80,-0,-0,-0,-0,4251469403956
variant_child,116117Hemilio140x70,-0,-0,-0,-0,4251469407213
variant_child,116117Hemilio160x90,-0,-0,-0,-0,4251469451865
variant_child,116117Hemilio200x140,-0,-0,-0,-0,4251469451629
variant_child,116117Hemilio240x170,-0,-0,-0,-0,4251469407244
variant_child,116117Hemilio300x200,-0,-0,-0,-0,4251469407251
variant_child,116117Hemilio300x80,-0,-0,-0,-0,4251469407220
variant_child,RSMilano140x70,-0,-0,-0,-0,4251469404977
variant_child,RSMilano200x140,-0,-0,-0,-0,4251469404991
variant_child,RSMilano240x170,-0,-0,-0,-0,4251469405004
variant_child,RSMilano290x200,-0,-0,-0,-0,4251469405011
variant_child,RSMilano340x240,-0,-0,-0,-0,4251469413191
variant_child,RSMilano300x80,-0,-0,-0,-0,4251469404984
