type,sku,art,kollektion,masse,farbe,ean
variant_child,BLAwaro140x70,Loribaft,Awaro,140 x 70 cm,Blue,4251469494244
variant_child,BLAwaro200x150,Loribaft,Awaro,200 x 150 cm,Blue,4251469494251
variant_child,BLAwaro240x170,Loribaft,Awaro,240 x 170 cm,Blue,4251469494268
variant_child,BLAwaro300x200,Loribaft,Awaro,300 x 200 cm,Blue,4251469494275
variant_child,BLAwaro350x250,Loribaft,Awaro,350 x 250 cm,Blue,4251469494282
variant_child,BLAwaro300x80,Loribaft,Awaro,300 x 80 cm,Blue,4251469494299
variant_child,RDAwaro140x70,Loribaft,Awaro,140 x 70 cm,Red,4251469494305
variant_child,RDAwaro240x170,Loribaft,Awaro,240 x 170 cm,Red,4251469494329
variant_child,RDAwaro300x200,Loribaft,Awaro,300 x 200 cm,Red,4251469494336
variant_child,RDAwaro350x250,Loribaft,Awaro,350 x 250 cm,Red,4251469494343
variant_child,RDAwaro300x80,Loribaft,Awaro,300 x 80 cm,Red,4251469494350
variant_child,RDAwaro200x150,Loribaft,Awaro,200 x 150 cm,Red,4251469494312
variant_child,BGAwaro200x150,Loribaft,Awaro,200 x 150 cm,Beige,4251469494374
variant_child,BGAwaro240x170,Loribaft,Awaro,240 x 170 cm,Beige,4251469494381
variant_child,BGAwaro300x200,Loribaft,Awaro,300 x 200 cm,Beige,4251469494398
variant_child,BGAwaro350x250,Loribaft,Awaro,350 x 250 cm,Beige,4251469494404
variant_child,BGAwaro300x80,Loribaft,Awaro,300 x 80 cm,Beige,4251469494411
variant_child,BGAwaro140x70,Loribaft,Awaro,140 x 70 cm,Beige,4251469494367
