type,sku,art,kollektion,masse,farbe,ean
variant_child,BGSahara400x300,Gabbeh,Sahara,400 x 300 cm,Beige,4251469491588
variant_child,BGSahara350x250,Gabbeh,Sahara,350 x 250 cm,Beige,4251469491595
variant_child,BGSahara300x250,Gabbeh,Sahara,300 x 250 cm,Beige,4251469491601
variant_child,BGSahara250x250Q,Gabbeh,Sahara,250 x 250Q cm,Beige,4251469491618
variant_child,BGSahara300x200,Gabbeh,Sahara,300 x 200 cm,Beige,4251469491625
variant_child,BGSahara250x200,Gabbeh,Sahara,250 x 200 cm,Beige,4251469491632
variant_child,BGSahara200x200Q,Gabbeh,Sahara,200 x 200Q cm,Beige,4251469491649
variant_child,BGSahara240x170,Gabbeh,Sahara,240 x 170 cm,Beige,4251469491656
variant_child,BGSahara200x140,Gabbeh,Sahara,200 x 140 cm,Beige,4251469491663
variant_child,BGSahara140x70,Gabbeh,Sahara,140 x 70 cm,Beige,4251469491670
variant_child,BGSahara90x60,Gabbeh,Sahara,90 x 60 cm,Beige,4251469491694
variant_child,BGSahara300x80,Gabbeh,Sahara,300 x 80 cm,Beige,4251469491717
variant_child,BGSahara200x80,Gabbeh,Sahara,200 x 80 cm,Beige,4251469491724
