type,sku,art,kollektion,masse,farbe,ean
variant_child,BLFenth300x200,Gabbeh,Fenth,300 x 200 cm,Blue,4251469402065
variant_child,GRSahara200x140,Gabbeh,Sahara,200 x 140 cm,Green,4251469400283
variant_child,GRSahara300x80,Gabbeh,Sahara,300 x 80 cm,Green,4251469400276
variant_child,GDFancy180x120,Kelims,Fancy,180 x 120 cm,Gold,4251469404458
variant_child,GDFancy240x170,Kelims,Fancy,240 x 170 cm,Gold,4251469404472
variant_child,BGFenth350x250,Gabbeh,Fenth,350 x 250 cm,Beige,4251469401976
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
