type,sku,art,kollektion,masse,farbe,ean
variant_child,BLDesert90x60,Handknotted,Desert,90 x 60 cm,Blue,4251469494428
variant_child,BLDesert140x70,Handknotted,Desert,140 x 70 cm,Blue,4251469494435
variant_child,BLDesert200x140,Handknotted,Desert,200 x 140 cm,Blue,4251469494442
variant_child,BLDesert240x170,Handknotted,Desert,240 x 170 cm,Blue,4251469494459
variant_child,BLDesert300x200,Handknotted,Desert,300 x 200 cm,Blue,4251469494466
variant_child,BLDesert350x250,Handknotted,Desert,350 x 250 cm,Blue,4251469494473
variant_child,BLDesert300x80,Handknotted,Desert,300 x 80 cm,Blue,4251469494480
variant_child,RDDesert90x60,Handknotted,Desert,90 x 60 cm,Red,4251469494497
variant_child,RDDesert140x70,Handknotted,Desert,140 x 70 cm,Red,4251469494503
variant_child,RDDesert200x140,Handknotted,Desert,200 x 140 cm,Red,4251469494510
variant_child,RDDesert240x170,Handknotted,Desert,240 x 170 cm,Red,4251469494527
variant_child,RDDesert300x200,Handknotted,Desert,300 x 200 cm,Red,4251469494534
variant_child,RDDesert350x250,Handknotted,Desert,350 x 250 cm,Red,4251469494541
variant_child,RDDesert300x80,Handknotted,Desert,300 x 80 cm,Red,4251469494558
variant_child,GRDesert90x60,Handknotted,Desert,90 x 60 cm,Green,4251469494565
variant_child,GRDesert140x70,Handknotted,Desert,140 x 70 cm,Green,4251469494572
variant_child,GRDesert200x140,Handknotted,Desert,200 x 140 cm,Green,4251469494589
variant_child,GRDesert240x170,Handknotted,Desert,240 x 170 cm,Green,4251469494596
variant_child,GRDesert300x200,Handknotted,Desert,300 x 200 cm,Green,4251469494602
variant_child,GRDesert350x250,Handknotted,Desert,350 x 250 cm,Green,4251469494619
variant_child,GRDesert300x80,Handknotted,Desert,300 x 80 cm,Green,4251469494626
