type,sku,art,kollektion,masse,farbe,ean
variant_child,ORFlowy140x70,Gabbeh,Flowy,140 x 70 cm,Orange,4251469407275
variant_child,ORFlowy200x140,Gabbeh,Flowy,200 x 140 cm,Orange,4251469407305
variant_child,ORFlowy240x170,Gabbeh,Flowy,240 x 170 cm,Orange,4251469407312
variant_child,ORFlowy300x200,Gabbeh,Flowy,300 x 200 cm,Orange,4251469407329
variant_child,ORFlowy350x250,Gabbeh,Flowy,350 x 250 cm,Orange,4251469407336
variant_child,ORFlowy300x80,Gabbeh,Flowy,300 x 80 cm,Orange,4251469405653
variant_child,WHFlowy140x70,Gabbeh,Flowy,140 x 70 cm,White,4251469407350
variant_child,WHFlowy200x140,Gabbeh,Flowy,200 x 140 cm,White,4251469407381
variant_child,WHFlowy240x170,Gabbeh,Flowy,240 x 170 cm,White,4251469407398
variant_child,WHFlowy300x200,Gabbeh,Flowy,300 x 200 cm,White,4251469451704
variant_child,WHFlowy350x250,Gabbeh,Flowy,350 x 250 cm,White,4251469407411
variant_child,WHFlowy400x300,Gabbeh,Flowy,400 x 300 cm,White,4251469490031
variant_child,WHFlowy300x80,Gabbeh,Flowy,300 x 80 cm,White,4251469407374
variant_child,BLFlowy140x70,Gabbeh,Flowy,140 x 70 cm,Blue,4251469407435
variant_child,BLFlowy200x140,Gabbeh,Flowy,200 x 140 cm,Blue,4251469407466
variant_child,BLFlowy240x170,Gabbeh,Flowy,240 x 170 cm,Blue,4251469407473
variant_child,BLFlowy300x200,Gabbeh,Flowy,300 x 200 cm,Blue,4251469407480
variant_child,BLFlowy350x250,Gabbeh,Flowy,350 x 250 cm,Blue,4251469407497
variant_child,BLFlowy300x80,Gabbeh,Flowy,300 x 80 cm,Blue,4251469407459
variant_child,GRFlowy140x70,Gabbeh,Flowy,140 x 70 cm,Green,4251469407510
variant_child,GRFlowy200x140,Gabbeh,Flowy,200 x 140 cm,Green,4251469407541
variant_child,GRFlowy240x170,Gabbeh,Flowy,240 x 170 cm,Green,4251469407558
variant_child,GRFlowy300x200,Gabbeh,Flowy,300 x 200 cm,Green,4251469407565
variant_child,GRFlowy350x250,Gabbeh,Flowy,350 x 250 cm,Green,4251469407572
variant_child,GRFlowy300x80,Gabbeh,Flowy,300 x 80 cm,Green,4251469407534
variant_child,RDFlowy140x70,Gabbeh,Flowy,140 x 70 cm,Red,4251469407596
variant_child,RDFlowy200x140,Gabbeh,Flowy,200 x 140 cm,Red,4251469407626
variant_child,RDFlowy240x170,Gabbeh,Flowy,240 x 170 cm,Red,4251469407633
variant_child,RDFlowy300x200,Gabbeh,Flowy,300 x 200 cm,Red,4251469407640
variant_child,RDFlowy400x300,Gabbeh,Flowy,400 x 300 cm,Red,4251469490048
variant_child,RDFlowy300x80,Gabbeh,Flowy,300 x 80 cm,Red,4251469407619
