type,sku,art,kollektion,masse,farbe,ean
variant_child,RDNova25x25,Loribaft,Nova,25 x 25 cm,Red,4251469491007
variant_child,RDNova140x70,Loribaft,Nova,140 x 70 cm,Red,4251469405639
variant_child,RDNova200x140,Loribaft,Nova,200 x 140 cm,Red,4251469405660
variant_child,RDNova240x170,Loribaft,Nova,240 x 170 cm,Red,4251469405677
variant_child,RDNova300x200,Loribaft,Nova,300 x 200 cm,Red,4251469405684
variant_child,RDNova350x250,Loribaft,Nova,350 x 250 cm,Red,4251469405707
variant_child,RDNova400x300,Loribaft,Nova,400 x 300 cm,Red,4251469413160
variant_child,RDNova300x80,Loribaft,Nova,300 x 80 cm,Red,4251469405653
variant_child,RDNova200x200Q,Loribaft,Nova,200 x 200 cm,Red,4251469453043
variant_child,GDNova25x25,Loribaft,Nova,25 x 25 cm,Gold,4251469491014
variant_child,GDNova140x70,Loribaft,Nova,140 x 70 cm,Gold,4251469405318
variant_child,GDNova200x140,Loribaft,Nova,200 x 140 cm,Gold,4251469405349
variant_child,GDNova240x170,Loribaft,Nova,240 x 170 cm,Gold,4251469405356
variant_child,GDNova350x250,Loribaft,Nova,350 x 250 cm,Gold,4251469405387
variant_child,GDNova400x300,Loribaft,Nova,400 x 300 cm,Gold,4251469453081
variant_child,GDNova300x80,Loribaft,Nova,300 x 80 cm,Gold,4251469405332
variant_child,GDNova200x200Q,Loribaft,Nova,200 x 200 cm,Gold,4251469453036
variant_child,GRNova25x25,Loribaft,Nova,25 x 25 cm,Green,4251469491021
variant_child,GRNova140x70,Loribaft,Nova,140 x 70 cm,Green,4251469405479
variant_child,GRNova200x140,Loribaft,Nova,200 x 140 cm,Green,4251469405509
variant_child,GRNova240x170,Loribaft,Nova,240 x 170 cm,Green,4251469405516
variant_child,GRNova300x200,Loribaft,Nova,300 x 200 cm,Green,4251469405523
variant_child,GRNova350x250,Loribaft,Nova,350 x 250 cm,Green,4251469405547
variant_child,GRNova400x300,Loribaft,Nova,400 x 300 cm,Green,4251469490024
variant_child,GRNova300x80,Loribaft,Nova,300 x 80 cm,Green,4251469405493
variant_child,GRNova200x200Q,Loribaft,Nova,200 x 200 cm,Green,4251469453050
variant_child,BGNova25x25,Loribaft,Nova,25 x 25 cm,Beige,4251469491038
variant_child,BGNova140x70,Loribaft,Nova,140 x 70 cm,Beige,4251469405394
variant_child,BGNova200x140,Loribaft,Nova,200 x 140 cm,Beige,4251469405424
variant_child,BGNova240x170,Loribaft,Nova,240 x 170 cm,Beige,4251469405431
variant_child,BGNova300x200,Loribaft,Nova,300 x 200 cm,Beige,4251469405448
variant_child,BGNova350x250,Loribaft,Nova,350 x 250 cm,Beige,4251469405462
variant_child,BGNova400x300,Loribaft,Nova,400 x 300 cm,Beige,4251469413139
variant_child,BGNova300x80,Loribaft,Nova,300 x 80 cm,Beige,4251469405417
variant_child,BGNova200x200Q,Loribaft,Nova,200 x 200 cm,Beige,4251469453067
variant_child,GREYNova25x25,Loribaft,Nova,25 x 25 cm,Grey,4251469491045
variant_child,GREYNova140x70,Loribaft,Nova,140 x 70 cm,Grey,4251469405554
variant_child,GREYNova200x140,Loribaft,Nova,200 x 140 cm,Grey,4251469405585
variant_child,GREYNova240x170,Loribaft,Nova,240 x 170 cm,Grey,4251469405592
variant_child,GREYNova300x200,Loribaft,Nova,300 x 200 cm,Grey,4251469405608
variant_child,GREYNova350x250,Loribaft,Nova,350 x 250 cm,Grey,4251469405622
variant_child,GREYNova400x300,Loribaft,Nova,400 x 300 cm,Grey,4251469413146
variant_child,GREYNova300x80,Loribaft,Nova,300 x 80 cm,Grey,4251469405578
variant_child,GREYNova200x200Q,Loribaft,Nova,200 x 200 cm,Grey,4251469453074
