type,sku,art,kollektion,masse,farbe,ean
variant_child,NAUni25x25.,Gabbeh,Uni,25 x 25 cm,Natural,4251469491298
variant_child,NAUni60x40.,Gabbeh,Uni,60 x 40 cm,Natural,4251469403437
variant_child,NAUni90x60.,Gabbeh,Uni,90 x 60 cm,Natural,4251469453715
variant_child,NAUni140x70.,Gabbeh,Uni,140 x 70 cm,Natural,4251469453722
variant_child,NAUni200x140.,Gabbeh,Uni,200 x 140 cm,Natural,4251469453739
variant_child,NAUni240x170.,Gabbeh,Uni,240 x 170 cm,Natural,4251469403468
variant_child,NAUni300x200.,Gabbeh,Uni,300 x 200 cm,Natural,4251469453746
variant_child,NAUni300x250.,Gabbeh,Uni,300 x 250 cm,Natural,4251469403482
variant_child,NAUni350x250.,Gabbeh,Uni,350 x 250 cm,Natural,4251469453753
variant_child,NAUni400x300.,Gabbeh,Uni,400 x 300 cm,Natural,4251469490161
variant_child,NAUni200x80.,Gabbeh,Uni,200 x 80 cm,Natural,4251469491380
variant_child,NAUni300x80.,Gabbeh,Uni,300 x80 cm,Natural,4251469403451
