type,sku,art,kollektion,masse,farbe,ean,,,,,,,
variant_child,RDFancy25x25,Kelim,Fancy,25 x 25 cm,Red,4251469490598,,,,,,,
variant_child,RDFancy140x70,Kelim,Fancy,140 x 70 cm,Red,4251469404267,,,,,,,
variant_child,RDFancy180x120,Kelim,Fancy,180 x 120 cm,Red,4251469404304,,,,,,,
variant_child,RDFancy200x140,Kelim,Fancy,200 x 140 cm,Red,4251469404311,,,,,,,
variant_child,RDFancy240x170,Kelim,Fancy,240 x 170 cm,Red,4251469404328,,,,,,,
variant_child,RDFancy300x200,Kelim,Fancy,300 x 200 cm,Red,4251469404335,,,,,,,
variant_child,RDFancy200x80,Kelim,Fancy,200 x 80 cm,Red,4251469404274,,,,,,,
variant_child,RDFancy300x80,Kelim,Fancy,300 x 80 cm,Red,4251469404281,,,,,,,
variant_child,RDFancy150R,Kelim,Fancy,150 x 150 cm R,Red,4251469489936,,,,,,,
variant_child,ORFancy25x25,Kelim,Fancy,25 x 25 cm,Orange,4251469490604,,,,,,,
variant_child,ORFancy140x70,Kelim,Fancy,140 x 70 cm,Orange,4251469404106,,,,,,,
variant_child,ORFancy180x120,Kelim,Fancy,180 x 120 cm,Orange,4251469404144,,,,,,,
variant_child,ORFancy200x140,Kelim,Fancy,200 x 140 cm,Orange,4251469404151,,,,,,,
variant_child,ORFancy240x170,Kelim,Fancy,240 x 170 cm,Orange,4251469404168,,,,,,,
variant_child,ORFancy300x200,Kelim,Fancy,300 x 200 cm,Orange,4251469404175,,,,,,,
variant_child,ORFancy200x80,Kelim,Fancy,200 x 80 cm,Orange,4251469404113,,,,,,,
variant_child,ORFancy300x80,Kelim,Fancy,300 x 80 cm,Orange,4251469404120,,,,,,,
variant_child,ORFancy150R,Kelim,Fancy,150 x 150 cm R,Orange,4251469489943,,,,,,,
variant_child,BLFancy25x25,Kelim,Fancy,25 x 25 cm,Blue,4251469490611,,,,,,,
variant_child,BLFancy140x70,Kelim,Fancy,140 x 70 cm,Blue,4251469404373,,,,,,,
variant_child,BLFancy180x120,Kelim,Fancy,180 x 120 cm,Blue,4251469404380,,,,,,,
variant_child,BLFancy200x140,Kelim,Fancy,200 x 140 cm,Blue,4251469404397,,,,,,,
variant_child,BLFancy240x170,Kelim,Fancy,240 x 170 cm,Blue,4251469453982,,,,,,,
variant_child,BLFancy300x200,Kelim,Fancy,300 x 200 cm,Blue,4251469404403,,,,,,,
