sku,ean,qty,type,name
WHElite200x140,4251469409866,6,variant_child,WHElite
ORFenth200x140,4251469401495,5,variant_child,ORFenth
ORFenth200x140,4251469401495,5,variant_child,ORFenth
GDFenth200x140,4251469401648,10,variant_child,GDFenth
GDFenth200x140,4251469401648,10,variant_child,GDFenth
GDFenth200x140,4251469401648,10,variant_child,GDFenth
GDFenth200x140,4251469401648,10,variant_child,GDFenth
BGFenth200x140,4251469401914,9,variant_child,BGFenth
BGFenth200x140,4251469401914,9,variant_child,BGFenth
ORFenth200x140,4251469401495,5,variant_child,ORFenth
ORFenth200x140,4251469401495,5,variant_child,ORFenth
ORFenth200x140,4251469401495,5,variant_child,ORFenth
BGFenth200x140,4251469401914,9,variant_child,BGFenth
BGFenth200x140,4251469401914,9,variant_child,BGFenth
GDFenth200x140,4251469401648,10,variant_child,GDFenth
GDFenth200x140,4251469401648,10,variant_child,GDFenth
BGFenth200x140,4251469401914,9,variant_child,BGFenth
GRFenth200x140,4251469452619,5,variant_child,GRFenth
BGFenth200x140,4251469401914,9,variant_child,BGFenth
GRFenth200x140,4251469452619,5,variant_child,GRFenth
BGFenth200x140,4251469401914,9,variant_child,BGFenth
BGFenth200x140,4251469401914,9,variant_child,BGFenth
ORFenth200x140,4251469401495,5,variant_child,ORFenth
BGFenth200x140,4251469401914,9,variant_child,BGFenth
RTElite200x140,4251469410213,6,variant_child,RTElite
GRFenth200x140,4251469452619,5,variant_child,GRFenth
GRFenth200x140,4251469452619,5,variant_child,GRFenth
ORBarossa200x150,4251469414020,4,variant_child,ORBarossa
ORBarossa200x150,4251469414020,4,variant_child,ORBarossa
GRFenth200x140,4251469452619,5,variant_child,GRFenth
ORBarossa200x150,4251469414020,4,variant_child,ORBarossa
BLElite200x140,4251469410558,6,variant_child,BLElite
BLBarossa200x150,4251469413900,6,variant_child,BLBarossa
WHElite200x140,4251469409866,6,variant_child,WHElite
GDBarossa200x150,4251469414266,5,variant_child,GDBarossa
BLRDBarossa200x150,4251469414389,3,variant_child,BLRDBarossa
GRBarossa200x150,4251469413788,7,variant_child,GRBarossa
BLElite200x140,4251469410558,6,variant_child,BLElite
RTElite200x140,4251469410213,6,variant_child,RTElite
GDBarossa200x150,4251469414266,5,variant_child,GDBarossa
BLBarossa200x150,4251469413900,6,variant_child,BLBarossa
BLBarossa200x150,4251469413900,6,variant_child,BLBarossa
BLElite200x140,4251469410558,6,variant_child,BLElite
WHElite200x140,4251469409866,6,variant_child,WHElite
RDBarossa200x150,4251469414143,4,variant_child,RDBarossa
GRBarossa200x150,4251469413788,7,variant_child,GRBarossa
BLBarossa200x150,4251469413900,6,variant_child,BLBarossa
WHElite200x140,4251469409866,6,variant_child,WHElite
GDBarossa200x150,4251469414266,5,variant_child,GDBarossa
BLElite200x140,4251469410558,6,variant_child,BLElite
RTElite200x140,4251469410213,6,variant_child,RTElite
GRBarossa200x150,4251469413788,7,variant_child,GRBarossa
BLElite200x140,4251469410558,6,variant_child,BLElite
GDBarossa200x150,4251469414266,5,variant_child,GDBarossa
GRBarossa200x150,4251469413788,7,variant_child,GRBarossa
BLBarossa200x150,4251469413900,6,variant_child,BLBarossa
RTElite200x140,4251469410213,6,variant_child,RTElite
GRBarossa200x150,4251469413788,7,variant_child,GRBarossa
