sku,ean,qty,type,name
RT105Indira240x170,4251469451162,2,variant_child,RT105Indira
RT105Indira300x200,4251469404069,3,variant_child,RT105Indira
RT105Indira350x250,4251469404083,3,variant_child,RT105Indira
RT105Indira400x300,4251469404090,1,variant_child,RT105Indira
RT105Indira200x80,4251469404007,2,variant_child,RT105Indira
RT105Indira240x80,4251469404014,5,variant_child,RT105Indira
RT105Indira300x80,4251469404021,1,variant_child,RT105Indira
RT105Indira350x80,4251469404038,1,variant_child,RT105Indira
RTOR130Nerio140x70,4251469403925,8,variant_child,RTOR130Nerio
RTOR130Nerio160x90,4251469451896,4,variant_child,RTOR130Nerio
RTOR130Nerio200x140,4251469451612,2,variant_child,RTOR130Nerio
RTOR130Nerio240x170,4251469403970,4,variant_child,RTOR130Nerio
RTOR130Nerio300x200,4251469403987,3,variant_child,RTOR130Nerio
RTOR130Nerio350x250,4251469403994,2,variant_child,RTOR130Nerio
RTOR130Nerio200x80,4251469403932,1,variant_child,RTOR130Nerio
RTOR130Nerio300x80,4251469403949,1,variant_child,RTOR130Nerio
RTOR130Nerio400x80,4251469403956,4,variant_child,RTOR130Nerio
116117Hemilio140x70,4251469407213,5,variant_child,116117Hemilio
116117Hemilio160x90,4251469451865,6,variant_child,116117Hemilio
116117Hemilio200x140,4251469451629,1,variant_child,116117Hemilio
116117Hemilio240x170,4251469407244,1,variant_child,116117Hemilio
116117Hemilio300x200,4251469407251,5,variant_child,116117Hemilio
116117Hemilio300x80,4251469407220,4,variant_child,116117Hemilio
RSMilano140x70,4251469404977,12,variant_child,RSMilano
RSMilano200x140,4251469404991,5,variant_child,RSMilano
RSMilano240x170,4251469405004,8,variant_child,RSMilano
RSMilano290x200,4251469405011,10,variant_child,RSMilano
RSMilano340x240,4251469413191,1,variant_child,RSMilano
RSMilano300x80,4251469404984,9,variant_child,RSMilano
RDMilano140x70,4251469405028,11,variant_child,RDMilano
RDMilano200x140,4251469405042,7,variant_child,RDMilano
RDMilano240x170,4251469405059,5,variant_child,RDMilano
RDMilano290x200,4251469405066,7,variant_child,RDMilano
RDMilano340x240,4251469413245,2,variant_child,RDMilano
RDMilano300x80,4251469405035,6,variant_child,RDMilano
SVMilano140x70,4251469405073,0,variant_child,SVMilano
SVMilano200x140,4251469405097,0,variant_child,SVMilano
SVMilano240x170,4251469405103,1,variant_child,SVMilano
SVMilano290x200,4251469405110,1,variant_child,SVMilano
SVMilano340x240,4251469451384,2,variant_child,SVMilano
SVMilano300x80,4251469405080,8,variant_child,SVMilano
GRMilano140x70,4251469405127,0,variant_child,GRMilano
GRMilano200x140,4251469453180,0,variant_child,GRMilano
GRMilano240x170,4251469405158,3,variant_child,GRMilano
GRMilano290x200,4251469405165,9,variant_child,GRMilano
GRMilano340x240,4251469413221,3,variant_child,GRMilano
GRMilano300x80,4251469405134,6,variant_child,GRMilano
BLMilano140x70,4251469405172,1,variant_child,BLMilano
BLMilano200x140,4251469453197,0,variant_child,BLMilano
BLMilano240x170,4251469405196,3,variant_child,BLMilano
BLMilano290x200,4251469413207,5,variant_child,BLMilano
BLMilano300x80,4251469405189,8,variant_child,BLMilano
ORMilano140x70,4251469405219,8,variant_child,ORMilano
ORMilano200x140,4251469405233,5,variant_child,ORMilano
ORMilano240x170,4251469405240,6,variant_child,ORMilano
ORMilano290x200,4251469405257,6,variant_child,ORMilano
ORMilano340x240,4251469413238,1,variant_child,ORMilano
ORMilano300x80,4251469405226,9,variant_child,ORMilano
BRMilano140x70,4251469405264,9,variant_child,BRMilano
BRMilano200x140,4251469405288,5,variant_child,BRMilano
BRMilano240x170,4251469405295,4,variant_child,BRMilano
BRMilano290x200,4251469405301,6,variant_child,BRMilano
BRMilano340x240,4251469413214,2,variant_child,BRMilano
BRMilano300x80,4251469405271,9,variant_child,BRMilano
BLManhat140x70,4251469411333,5,variant_child,BLManhat
BLManhat200x150,4251469411340,0,variant_child,BLManhat
BLManhat240x170,4251469451391,0,variant_child,BLManhat
BLManhat290x200,4251469411357,1,variant_child,BLManhat
BLManhat300x80,4251469411364,8,variant_child,BLManhat
BRManhat140x70,4251469411371,8,variant_child,BRManhat
BRManhat200x150,4251469451353,1,variant_child,BRManhat
BRManhat240x170,4251469451377,2,variant_child,BRManhat
BRManhat290x200,4251469411388,1,variant_child,BRManhat
BRManhat340x240,4251469411395,1,variant_child,BRManhat
BRManhat300x80,4251469411401,12,variant_child,BRManhat
GRManhat140x70,4251469411418,5,variant_child,GRManhat
GRManhat200x150,4251469411425,0,variant_child,GRManhat
GRManhat240x170,4251469411432,0,variant_child,GRManhat
GRManhat290x200,4251469411449,1,variant_child,GRManhat
GRManhat300x80,4251469411456,11,variant_child,GRManhat
GDManhat140x70,4251469411463,4,variant_child,GDManhat
GDManhat200x150,4251469453203,0,variant_child,GDManhat
GDManhat240x170,4251469453210,0,variant_child,GDManhat
GDManhat290x200,4251469453227,0,variant_child,GDManhat
GDManhat300x80,4251469411470,10,variant_child,GDManhat
ORLagune140x70,4251469410978,9,variant_child,ORLagune
ORLagune180x120,4251469410985,10,variant_child,ORLagune
ORLagune240x170,4251469410992,9,variant_child,ORLagune
ORLagune300x200,4251469411005,5,variant_child,ORLagune
RDLagune140x70,4251469411012,5,variant_child,RDLagune
RDLagune180x120,4251469411029,9,variant_child,RDLagune
RDLagune240x170,4251469411036,6,variant_child,RDLagune
RDLagune300x200,4251469411043,7,variant_child,RDLagune
BLLagune140x70,4251469411050,5,variant_child,BLLagune
BLLagune180x120,4251469411067,2,variant_child,BLLagune
BLLagune240x170,4251469411074,5,variant_child,BLLagune
BLLagune300x200,4251469411081,5,variant_child,BLLagune
SVLagune140x70,4251469411098,5,variant_child,SVLagune
SVLagune180x120,4251469411104,5,variant_child,SVLagune
SVLagune240x170,4251469411111,7,variant_child,SVLagune
SVLagune300x200,4251469411128,7,variant_child,SVLagune
GDLagune140x70,4251469411135,10,variant_child,GDLagune
