sku,ean,qty,type,name
GDUni,,,variant_parent,
GDUni60x40,4251469412934,24,variant_child,GDUni
GDUni90x60,4251469453418,0,variant_child,GDUni
GDUni140x70,4251469453425,0,variant_child,GDUni
GDUni200x140,4251469453432,0,variant_child,GDUni
GDUni240x170,4251469412941,1,variant_child,GDUni
GDUni300x200,4251469453449,0,variant_child,GDUni
GDUni300x250,4251469453456,0,variant_child,GDUni
GDUni350x250,4251469451728,1,variant_child,GDUni
GDUni300x80,4251469453463,0,variant_child,GDUni
RDUni,,,variant_parent,
RDUni60x40,4251469406162,1,variant_child,RDUni
RDUni90x60,4251469453470,0,variant_child,RDUni
RDUni140x70,4251469453487,0,variant_child,RDUni
RDUni160x90,4251469451988,1,variant_child,RDUni
RDUni200x140,4251469453494,0,variant_child,RDUni
RDUni240x170,4251469406254,2,variant_child,RDUni
RDUni300x200,4251469406261,1,variant_child,RDUni
RDUni300x250,4251469453500,0,variant_child,RDUni
RDUni350x250,4251469406285,4,variant_child,RDUni
RDUni400x300,4251469406292,4,variant_child,RDUni
RDUni240x80,4251469406193,1,variant_child,RDUni
RDUni300x80,4251469406209,0,variant_child,RDUni
RDUni350x80,4251469406216,2,variant_child,RDUni
RTUni,,,variant_parent,
RTUni60x40,4251469453517,0,variant_child,RTUni
RTUni90x60,4251469453524,0,variant_child,RTUni
RTUni140x70,4251469406315,2,variant_child,RTUni
RTUni160x90,4251469406353,11,variant_child,RTUni
RTUni200x140,4251469406377,5,variant_child,RTUni
RTUni240x170,4251469406308,11,variant_child,RTUni
RTUni300x200,4251469406407,10,variant_child,RTUni
RTUni300x250,4251469452060,2,variant_child,RTUni
RTUni350x250,4251469406414,5,variant_child,RTUni
RTUni200x80,4251469406322,6,variant_child,RTUni
RTUni300x80,4251469406339,4,variant_child,RTUni
RTUni400x80,4251469406346,4,variant_child,RTUni
DKCAUni,,,variant_parent,
DKCAUni60x40,4251469453531,0,variant_child,DKCAUni
DKCAUni90x60,4251469413061,0,variant_child,DKCAUni
DKCAUni140x70,4251469451827,5,variant_child,DKCAUni
DKCAUni160x90,4251469451902,6,variant_child,DKCAUni
DKCAUni200x140,4251469453548,0,variant_child,DKCAUni
DKCAUni240x170,4251469451407,1,variant_child,DKCAUni
DKCAUni300x200,4251469406476,0,variant_child,DKCAUni
DKCAUni300x250,4251469453555,0,variant_child,DKCAUni
DKCAUni350x250,4251469406483,4,variant_child,DKCAUni
DKCAUni200x80,4251469406438,2,variant_child,DKCAUni
DKCAUni240x80,4251469406445,1,variant_child,DKCAUni
DKCAUni300x80,4251469453562,0,variant_child,DKCAUni
DKCAUni400x80,4251469406452,2,variant_child,DKCAUni
SCUni,,,variant_parent,
SCUni60x40,4251469453760,0,variant_child,SCUni
SCUni90x60,4251469453777,0,variant_child,SCUni
SCUni140x70,4251469453784,0,variant_child,SCUni
SCUni160x90,4251469451940,4,variant_child,SCUni
SCUni200x140,4251469453791,0,variant_child,SCUni
SCUni240x170,4251469403543,3,variant_child,SCUni
SCUni300x200,4251469403550,0,variant_child,SCUni
SCUni300x250,4251469403567,1,variant_child,SCUni
SCUni350x250,4251469403574,1,variant_child,SCUni
SCUni400x300,4251469403581,1,variant_child,SCUni
SCUni200x80,4251469403505,5,variant_child,SCUni
SCUni300x80,4251469403512,5,variant_child,SCUni
SCUni400x80,4251469403529,5,variant_child,SCUni
ORUni,,,variant_parent,
ORUni60x40,4251469403673,8,variant_child,ORUni
ORUni90x60,4251469453845,0,variant_child,ORUni
ORUni140x70,4251469403680,0,variant_child,ORUni
ORUni160x90,4251469451957,2,variant_child,ORUni
ORUni200x140,4251469403734,2,variant_child,ORUni
ORUni240x170,4251469403741,8,variant_child,ORUni
ORUni300x200,4251469453852,0,variant_child,ORUni
ORUni300x250,4251469453869,0,variant_child,ORUni
ORUni350x250,4251469403789,2,variant_child,ORUni
ORUni400x300,4251469403796,2,variant_child,ORUni
ORUni200x80,4251469403697,1,variant_child,ORUni
ORUni240x80,4251469403703,2,variant_child,ORUni
ORUni300x80,4251469403710,0,variant_child,ORUni
ORUni350x80,4251469403727,4,variant_child,ORUni
ORUni200x200R,4251469403765,2,variant_child,ORUni
TKUni,,,variant_parent,
TKUni60x40,4251469406490,2,variant_child,TKUni
TKUni90x60,4251469453579,0,variant_child,TKUni
TKUni140x70,4251469406506,8,variant_child,TKUni
TKUni160x90,4251469406544,5,variant_child,TKUni
TKUni200x140,4251469406568,5,variant_child,TKUni
TKUni240x170,4251469406575,5,variant_child,TKUni
TKUni300x200,4251469406605,7,variant_child,TKUni
TKUni300x250,4251469406612,0,variant_child,TKUni
TKUni350x250,4251469453586,0,variant_child,TKUni
TKUni200x80,4251469406513,3,variant_child,TKUni
TKUni300x80,4251469406520,5,variant_child,TKUni
TKUni400x80,4251469406537,4,variant_child,TKUni
TKUni200x200R,4251469406599,1,variant_child,TKUni
LIBL566Uni,,,variant_parent,
LIBL566Uni60x40,4251469451247,13,variant_child,LIBL566Uni
LIBL566Uni90x60,4251469453654,0,variant_child,LIBL566Uni
LIBL566Uni140x70,4251469402348,0,variant_child,LIBL566Uni
LIBL566Uni200x140,4251469402362,2,variant_child,LIBL566Uni
LIBL566Uni240x170,4251469402379,3,variant_child,LIBL566Uni
LIBL566Uni300x200,4251469402393,4,variant_child,LIBL566Uni
LIBL566Uni300x250,4251469402409,0,variant_child,LIBL566Uni
LIBL566Uni350x250,4251469402416,3,variant_child,LIBL566Uni
LIBL566Uni400x300,4251469402423,2,variant_child,LIBL566Uni
LIBL566Uni300x80,4251469402355,2,variant_child,LIBL566Uni
SEABL511Uni,,,variant_parent,
SEABL511Uni60x40,4251469451278,1,variant_child,SEABL511Uni
SEABL511Uni90x60,4251469403055,1,variant_child,SEABL511Uni
SEABL511Uni140x70,4251469403062,6,variant_child,SEABL511Uni
SEABL511Uni200x140,4251469403109,3,variant_child,SEABL511Uni
SEABL511Uni240x170,4251469403116,3,variant_child,SEABL511Uni
SEABL511Uni300x200,4251469403147,2,variant_child,SEABL511Uni
SEABL511Uni300x250,4251469403154,1,variant_child,SEABL511Uni
SEABL511Uni350x250,4251469403161,2,variant_child,SEABL511Uni
SEABL511Uni200x80,4251469403079,2,variant_child,SEABL511Uni
SEABL511Uni300x80,4251469403086,2,variant_child,SEABL511Uni
SEABL511Uni400x80,4251469403093,1,variant_child,SEABL511Uni
SEABL511Uni200x200Q,4251469403130,1,variant_child,SEABL511Uni
SEABL511Uni200x200R,4251469403123,1,variant_child,SEABL511Uni
BLUni,,,variant_parent,
BLUni60x40,4251469403598,3,variant_child,BLUni
BLUni90x60,4251469453807,0,variant_child,BLUni
BLUni140x70,4251469453814,0,variant_child,BLUni
BLUni160x90,4251469451971,3,variant_child,BLUni
BLUni200x140,4251469453821,0,variant_child,BLUni
BLUni240x170,4251469403642,8,variant_child,BLUni
BLUni300x200,4251469403659,5,variant_child,BLUni
BLUni300x250,4251469453838,0,variant_child,BLUni
BLUni350x250,4251469403666,2,variant_child,BLUni
BLUni300x80,4251469403611,0,variant_child,BLUni
BLUni400x80,4251469403628,2,variant_child,BLUni
GREYUni,,,variant_parent,
GREYUni60x40,4251469453623,0,variant_child,GREYUni
GREYUni90x60,4251469453630,0,variant_child,GREYUni
GREYUni140x70,4251469406711,10,variant_child,GREYUni
GREYUni160x90,4251469406766,3,variant_child,GREYUni
GREYUni200x140,4251469406780,3,variant_child,GREYUni
GREYUni240x170,4251469406797,3,variant_child,GREYUni
GREYUni300x200,4251469406827,7,variant_child,GREYUni
GREYUni300x250,4251469406834,1,variant_child,GREYUni
GREYUni350x250,4251469406841,0,variant_child,GREYUni
GREYUni400x300,4251469406858,1,variant_child,GREYUni
GREYUni200x80,4251469406728,5,variant_child,GREYUni
GREYUni300x80,4251469406735,7,variant_child,GREYUni
GREYUni400x80,4251469406759,7,variant_child,GREYUni
GREYUni200x200R,4251469406810,2,variant_child,GREYUni
SVUni,,,variant_parent,
SVUni60x40,4251469403291,6,variant_child,SVUni
SVUni90x60,4251469403307,0,variant_child,SVUni
SVUni140x70,4251469453944,0,variant_child,SVUni
SVUni160x90,4251469451933,3,variant_child,SVUni
SVUni200x140,4251469403352,0,variant_child,SVUni
SVUni240x170,4251469403369,2,variant_child,SVUni
SVUni300x200,4251469403390,3,variant_child,SVUni
SVUni300x250,4251469403406,0,variant_child,SVUni
SVUni350x250,4251469403413,2,variant_child,SVUni
