sku,ean,qty,type,name
RT105Indira240x170,4251469451162,2,variant_child,RT105Indira
RT105Indira300x200,4251469404069,4,variant_child,RT105Indira
RT105Indira350x250,4251469404083,2,variant_child,RT105Indira
RT105Indira400x300,4251469404090,1,variant_child,RT105Indira
RT105Indira200x80,4251469404007,2,variant_child,RT105Indira
RT105Indira240x80,4251469404014,4,variant_child,RT105Indira
RT105Indira300x80,4251469404021,1,variant_child,RT105Indira
RT105Indira350x80,4251469404038,1,variant_child,RT105Indira
RTOR130Nerio140x70,4251469403925,4,variant_child,RTOR130Nerio
RTOR130Nerio160x90,4251469451896,2,variant_child,RTOR130Nerio
RTOR130Nerio200x140,4251469451612,2,variant_child,RTOR130Nerio
RTOR130Nerio240x170,4251469403970,4,variant_child,RTOR130Nerio
RTOR130Nerio300x200,4251469403987,2,variant_child,RTOR130Nerio
RTOR130Nerio350x250,4251469403994,3,variant_child,RTOR130Nerio
RTOR130Nerio200x80,4251469403932,1,variant_child,RTOR130Nerio
RTOR130Nerio300x80,4251469403949,3,variant_child,RTOR130Nerio
RTOR130Nerio400x80,4251469403956,3,variant_child,RTOR130Nerio
116117Hemilio140x70,4251469407213,3,variant_child,116117Hemilio
116117Hemilio160x90,4251469451865,4,variant_child,116117Hemilio
116117Hemilio200x140,4251469451629,1,variant_child,116117Hemilio
116117Hemilio240x170,4251469407244,2,variant_child,116117Hemilio
116117Hemilio300x200,4251469407251,6,variant_child,116117Hemilio
116117Hemilio300x80,4251469407220,2,variant_child,116117Hemilio
RSMilano140x70,4251469404977,12,variant_child,RSMilano
RSMilano200x140,4251469404991,4,variant_child,RSMilano
RSMilano240x170,4251469405004,7,variant_child,RSMilano
RSMilano290x200,4251469405011,10,variant_child,RSMilano
RSMilano340x240,4251469413191,1,variant_child,RSMilano
RSMilano300x80,4251469404984,9,variant_child,RSMilano
RDMilano140x70,4251469405028,11,variant_child,RDMilano
RDMilano200x140,4251469405042,6,variant_child,RDMilano
